"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","region","country","geometry","area","map_class","map_class_label","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","ref_class","ref_class_label","confidence","confidence_label","comments"
"224","EPSG:4326","4.383375","12.539875","Rasak Adekola","222","0.0122040130686727","5.55254599380074","Kebbi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"29","EPSG:4326","4.271125","10.357125","Rasak Adekola","233","0.0140412700557528","5.82870879766316","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High","Agriculture pronounced"
"176","EPSG:4326","10.376125","10.018125","Rasak Adekola","372","0.0279358665092483","0.545922322148658","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"289","EPSG:4326","11.431625","9.737375","Rasak Adekola","521","0.047464662350753","2.29952395119468","Gombe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"264","EPSG:4326","4.551875","7.508875","Rasak Adekola","258","0.00303353258421065","6.10299643945608","Osun","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"56","EPSG:4326","10.072125","8.708625","Rasak Adekola","162","0.00913662171208484","5.01388466090517","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"139","EPSG:4326","5.920125","9.804625","Rasak Adekola","103","0.0105646784013321","4.53163983939966","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"152","EPSG:4326","9.769625","9.312625","Rasak Adekola","356","0.0151231597258697","2.97834665947548","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"113","EPSG:4326","9.108625","11.815375","Rasak Adekola","425","0.00200962762000891","5.78308808872317","Kano","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High","Agriculture"
"212","EPSG:4326","8.839875","8.332875","Rasak Adekola","176","0.00680461017561452","3.06145309501446","Nassarawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","3","Deforestation","hi","High",
"645_nm","EPSG:4326","10.87585823","7.8413492","ADIM IJEAKU JANE","183","0.012079172","1.705967295","region","country","points","1.0","1","Stable non-forest","false","2018","12","4","recheck_refdata_notmatching.csv","1","Stable non-forest","hi","High",
"292_nm","EPSG:4326","10.8874465","9.554795773","ADIM IJEAKU JANE","563","0.047709274","4.444980057","region","country","points","1.0","1","Stable non-forest","true","2018","12","4","recheck_refdata_notmatching.csv","2","Stable forest","hi","High",
"687_nm","EPSG:4326","4.424966343","8.430464363","ADIM IJEAKU JANE","336","0.004684106","6.107802511","region","country","points","1.0","1","Stable non-forest","true","2018","12","4","recheck_refdata_notmatching.csv","2","Stable forest","hi","High",
